id,Forest_Typ,Island,Area,Area2
95,Mixed,EAST,258.10,258.17
96,Mixed,KAUL,824.70,824.77
97,Mixed,KAUL,644.30,644.32
98,Mixed,KAUL,534.90,534.97
99,Mixed,EAST,484.10,484.14
100,Mixed,EAST,242.70,242.72
101,Mixed,EAST,263.20,263.23
102,Mixed,EAST,1241.00,1241.33
103,Mixed,EAST,447.20,447.24
104,Mixed,EAST,214.60,214.62
105,Mixed,EAST,2882.00,2882.98
106,Mixed,EAST,436.50,436.53
107,Mixed,EAST,2385.00,2385.02
108,Mixed,EAST,248.50,248.55
109,Mixed,EAST,429.50,429.57
110,Mixed,EAST,792.30,792.33
111,Mixed,EAST,1276.00,1276.83
112,Native,EAST,4059.00,4059.80
113,Mixed,EAST,778.80,778.82
114,Mixed,EAST,2953.00,2953.67
115,Native,EAST,5381.00,5381.60
116,Native,BUNK,144.10,144.18
117,Mixed,BUNK,1324.00,1324.99
119,Mixed,WHIP,6436.00,6436.74
120,Mixed,QUAI,12011.00,12011.18
121,Mixed,QUAI,1142.00,1142.49
122,Native,QUAI,5321.00,5321.56
123,Mixed,QUAI,1895.00,1895.95
124,Cocos,QUAI,6371.00,6371.20
125,Mixed,AVIA,2296.00,2296.09
126,Mixed,AVIA,3258.00,3258.70
127,Mixed,AVIA,1673.00,1673.82
128,Mixed,CAUS,8703.00,8703.16
129,Mixed,AVIA,1001.00,1001.23
130,Mixed,AVIA,4678.00,4678.51
131,Cocos,COOP,6739.00,6739.18
132,Cocos,COOP,3279.00,3279.75
133,Mixed,COOP,541.40,541.47
134,Cocos,COOP,532.30,532.36
135,Mixed,COOP,2658.00,2658.91
136,Cocos,COOP,3741.00,3741.96
137,Cocos,COOP,3966.00,3966.15
138,Cocos,COOP,4438.00,4438.58
139,Cocos,COOP,1892.00,1892.54
140,Cocos,COOP,1936.00,1936.19
141,Cocos,COOP,3680.00,3680.96
142,Cocos,COOP,9150.00,9150.88
143,Mixed,COOP,400.90,400.96
144,Cocos,COOP,33558.00,33558.84
145,Mixed,COOP,5547.00,5547.73
146,Mixed,COOP,56.22,56.22
147,Mixed,COOP,9852.00,9852.70
148,Mixed,COOP,17240.00,17240.51
149,Mixed,COOP,687.00,687.00
150,Mixed,COOP,1101.00,1101.69
151,Mixed,COOP,1236.00,1236.87
153,Cocos,COOP,4634.00,4634.14
154,Native,COOP,13411.00,13411.30
155,Cocos,STRA,1325.00,1325.69
156,Cocos,STRA,10473.00,10473.33
157,Native,STRA,4185.00,4185.70
158,Cocos,STRA,9283.00,9283.67
159,Mixed,STRA,5549.00,5549.69
160,Native,STRA,1216.00,1216.76
161,Native,STRA,769.00,769.06
