Year,Time,Forest type,Site #,Site name,Plant Species,Plot #,Cage,Treatment,Height (cm),Leaf1.L,Leaf 2.L,Leaf 3.L,Leaf 4.L,Leaf 5.L,Leaf 6.L,Leaf7.L,Leaf8.L,Leaf9.L,Leaf10.L,Leaf1.Area,Leaf2.Area,Leaf3.Area,Leaf4.Area,Leaf5.Area,Leaf6.Area,Leaf7.Area,Leaf8.Area,Leaf9.Area,Leaf10.Area,Total.LA,leaf.dw.g
2007,1,N,4,East 4,C,95,CO,CO,9.7,20,,,,,,,,,,81.09618212,0,0,0,0,0,0,0,0,0,81.1,67.7
2007,1,N,5,Holei 1,C,96,CA,CA,3.1,8,7.6,7.6,,,,,,,,20.49522365,18.97638862,18.97638862,0,0,0,0,0,0,0,58.4,62.7
2007,1,N,5,Holei 1,C,97,CA,CF,4,7.2,7.2,,,,,,,,,17.49710076,17.49710076,0,0,0,0,0,0,0,0,35,57.6
2007,1,N,5,Holei 1,C,99,CO,CO,3,12.7,12.7,14.5,,,,,,,,41.01512579,41.01512579,50.04420454,0,0,0,0,0,0,0,132.1,78.9
2007,1,N,5,Holei 1,C,100,CO,FE,10,17.9,18,,,,,,,,,68.65654855,69.23310981,0,0,0,0,0,0,0,0,137.9,80.2
2007,1,N,5,Holei 1,C,101,CA,CA,10.9,19.1,19.1,,,,,,,,,75.68040889,75.68040889,0,0,0,0,0,0,0,0,151.4,83.2
2007,1,N,5,Holei 1,C,102,CA,CF,5.8,11.4,,,,,,,,,,34.87740421,0,0,0,0,0,0,0,0,0,34.9,57.6
2007,1,N,5,Holei 1,C,104,CO,CO,6.1,9.8,10,,,,,,,,,27.79417224,28.64997731,0,0,0,0,0,0,0,0,56.4,62.3
2007,1,N,5,Holei 1,C,105,CO,FE,5.6,14.9,14.9,11,11,,,,,,,52.13077601,52.13077601,33.05665018,33.05665018,0,0,0,0,0,0,170.4,87.4
2007,1,N,5,Holei 1,C,106,CA,CA,1.3,NL,,,,,,,,,,1.3,,,,,,,,,,1.3,50.2
2007,1,N,5,Holei 1,C,107,CA,CF,5,10,10,16.8,17,,,,,,,28.64997731,28.64997731,62.4217651,63.54057757,0,0,0,0,0,0,183.3,90.2
2007,1,N,5,Holei 1,C,109,CO,CO,3.1,5.8,,,,,,,,,,12.64753947,0,0,0,0,0,0,0,0,0,12.6,52.7
2007,1,N,5,Holei 1,C,110,CO,FE,3.3,7,6.7,9.8,9.9,,,,,,,16.77262164,15.70526138,27.79417224,28.22099182,0,0,0,0,0,0,88.5,69.4
2007,1,N,5,Holei 1,C,111,CA,CA,8.2,14.3,14.3,,,,,,,,,49.01163698,49.01163698,0,0,0,0,0,0,0,0,98,71.5
2007,1,N,5,Holei 1,C,112,CA,CF,3.5,NL,,,,,,,,,,3.5,,,,,,,,,,3.5,50.7
2007,1,N,5,Holei 1,C,114,CO,CO,6.5,9.5,11.6,16.1,16.3,,,,,,,26.52681974,35.79992938,58.55858916,59.65393481,0,0,0,0,0,0,180.5,89.6
2007,1,N,5,Holei 1,C,115,CO,FE,1.2,NL,,,,,,,,,,1.2,,,,,,,,,,1.2,50.2
2007,1,C,1,Holei 4,C,116,CA,CA,3.2,4.9,4.9,,,,,,,,,9.819234187,9.819234187,0,0,0,0,0,0,0,0,19.6,54.2
2007,1,C,1,Holei 4,C,117,CA,CF,4.5,4.5,19,19.2,17.6,17.2,,,,,,8.640951882,75.08640519,76.27597306,66.93655362,64.66600536,0,0,0,0,0,291.6,114
2007,1,C,1,Holei 4,C,119,CO,CO,5,14.5,14.4,16,15.9,,,,,,,50.04420454,49.52702246,58.01346269,57.47004082,0,0,0,0,0,0,215.1,97.2
2007,1,C,1,Holei 4,C,120,CO,FE,6,7,12,,,,,,,,,16.77262164,37.66892711,0,0,0,0,0,0,0,0,54.4,61.9
2007,1,C,1,Holei 4,C,121,CA,CA,5,4.1,4.2,9.9,,,,,,,,7.514050847,7.790831151,28.22099182,0,0,0,0,0,0,0,43.5,59.5
2007,1,C,1,Holei 4,C,122,CA,CF,4.3,7.2,7.2,12.5,12.5,,,,,,,17.49710076,17.49710076,40.04938974,40.04938974,0,0,0,0,0,0,115.1,75.2
2007,1,C,1,Holei 4,C,124,CO,CO,3.8,10,10,,,,,,,,,28.64997731,28.64997731,0,0,0,0,0,0,0,0,57.3,62.5
2007,1,C,1,Holei 4,C,125,CO,FE,5,12,11.8,,,,,,,,,37.66892711,36.73045967,0,0,0,0,0,0,0,0,74.4,66.3
2007,1,C,1,Holei 4,C,126,CA,CA,1.6,NL,,,,,,,,,,1.6,,,,,,,,,,1.6,50.2
2007,1,C,1,Holei 4,C,127,CA,CF,4,NL,,,,,,,,,,4,,,,,,,,,,4,50.8
2007,1,C,1,Holei 4,C,129,CO,CO,2.7,7.8,7.5,,,,,,,,,19.73092703,18.60281832,0,0,0,0,0,0,0,0,38.3,58.3
2007,1,C,1,Holei 4,C,130,CO,FE,7.8,14,14,,,,,,,,,47.47632309,47.47632309,0,0,0,0,0,0,0,0,95,70.8
2007,1,C,1,Holei 4,C,131,CA,CA,4.5,12.2,12.1,19.2,19,,,,,,,38.6152654,38.14111648,76.27597306,75.08640519,0,0,0,0,0,0,228.1,100.1
2007,1,C,1,Holei 4,C,132,CA,CF,2.8,NL,,,,,,,,,,2.8,,,,,,,,,,2.8,50.5
2007,1,C,1,Holei 4,C,134,CO,CO,4,6.3,,,,,,,,,,14.31905579,0,0,0,0,0,0,0,0,0,14.3,53
2007,1,C,1,Holei 4,C,135,CO,FE,9.5,16.2,16.4,,,,,,,,,59.10541495,60.20414355,0,0,0,0,0,0,0,0,119.3,76.1
2007,1,C,1,Holei 4,C,136,CA,CA,2,7.8,8,8.5,9,,,,,,,19.73092703,20.49522365,22.44786447,24.45894459,0,0,0,0,0,0,87.1,69.1
2007,1,C,1,Holei 4,C,137,CA,CF,2.5,9,9,7,,,,,,,,24.45894459,24.45894459,16.77262164,0,0,0,0,0,0,0,65.7,64.3
2007,1,C,1,Holei 4,C,139,CO,CO,4,4.5,4.5,,,,,,,,,8.640951882,8.640951882,0,0,0,0,0,0,0,0,17.3,53.7
2007,1,C,1,Holei 4,C,140,CO,FE,5.5,18.5,18.5,15,,,,,,,,72.13993784,72.13993784,52.65684949,0,0,0,0,0,0,0,196.9,93.2
2007,1,C,2,Aviation 2,C,141,CA,CF,0.5,3.9,3.9,,,,,,,,,6.970619292,6.970619292,0,0,0,0,0,0,0,0,13.9,53
2007,1,C,2,Aviation 2,C,142,CO,PC,10.1,13.5,13.5,,,,,,,,,44.95399596,44.95399596,0,0,0,0,0,0,0,0,89.9,69.7
2007,1,C,2,Aviation 2,C,143,CO,CO,5.3,13,13,,,,,,,,,42.4780575,42.4780575,0,0,0,0,0,0,0,0,85,68.6
2007,1,C,2,Aviation 2,C,144,CO,FE,3.7,8.3,7.7,8.1,,,,,,,,21.65969849,19.3524302,20.88099282,0,0,0,0,0,0,0,61.9,63.5
2007,1,C,2,Aviation 2,C,145,CA,CA,2.1,NL,,,,,,,,,,2.1,,,,,,,,,,2.1,50.4
2007,1,C,2,Aviation 2,C,146,CA,CF,8.5,18.5,18.6,,,,,,,,,72.13993784,72.72607724,0,0,0,0,0,0,0,0,144.9,81.8
2007,1,C,2,Aviation 2,C,147,CO,PC,3.5,5.4,5.4,,,,,,,,,11.36110452,11.36110452,0,0,0,0,0,0,0,0,22.7,54.9
2007,1,C,2,Aviation 2,C,148,CO,CO,3.2,NL,,,,,,,,,,3.2,,,,,,,,,,3.2,50.6
2007,1,C,2,Aviation 2,C,149,CO,FE,4.7,8,,,,,,,,,,20.49522365,0,0,0,0,0,0,0,0,0,20.5,54.4
2007,1,C,2,Aviation 2,C,150,CA,CA,6,17.7,18,19,,,,,,,,67.50826592,69.23310981,75.08640519,0,0,0,0,0,0,0,211.8,96.5
2007,1,C,2,Aviation 2,C,151,CA,CF,4.3,7.3,7.3,,,,,,,,,17.86315751,17.86315751,0,0,0,0,0,0,0,0,35.7,57.7
2007,1,C,2,Aviation 2,C,152,CO,PC,6.1,NL,,,,,,,,,,6.1,,,,,,,,,,6.1,51.2
2007,1,C,2,Aviation 2,C,153,CO,CO,5.9,20,19.5,14,14,,,,,,,81.09618212,78.07198785,47.47632309,47.47632309,0,0,0,0,0,0,254.1,105.8
2007,1,C,2,Aviation 2,C,154,CO,FE,6.9,15.3,15.5,9.9,,,,,,,,54.24560898,55.31350698,28.22099182,0,0,0,0,0,0,0,137.8,80.2
2007,1,C,2,Aviation 2,C,155,CA,CA,3.5,8.5,8.7,,,,,,,,,22.44786447,23.24537905,0,0,0,0,0,0,0,0,45.7,59.9
2007,1,C,2,Aviation 2,C,156,CA,CF,2.4,NL,,,,,,,,,,2.4,,,,,,,,,,2.4,50.4
2007,1,C,2,Aviation 2,C,157,CO,PC,3.3,NL,,,,,,,,,,3.3,,,,,,,,,,3.3,50.6
2007,1,C,2,Aviation 2,C,158,CO,CO,6,15,15,9,9.1,,,,,,,52.65684949,52.65684949,24.45894459,24.8680262,0,0,0,0,0,0,154.6,83.9
