Type,Site,Year,Eradication,Mature.Intact,Immature.Intact,Immature.Rotten,Mature.Rotten,Immature.Predated,Mature.Predated
Cocos,Kaula 1,2016,post,0,0,0,0,0,1
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,1,0,0,4,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,1,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,1,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,3,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,1,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,1,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,1,0,0,0,0,0
Cocos,Kaula 1,2016,post,1,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,1,0,0
Cocos,Kaula 1,2016,post,2,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Papala,2016,post,0,0,0,2,0,0
Cocos,Papala,2016,post,3,0,0,6,0,0
Cocos,Papala,2016,post,0,0,0,0,0,0
Cocos,Papala,2016,post,0,0,0,2,0,0
Cocos,Papala,2016,post,0,0,2,0,0,0
Cocos,Papala,2016,post,0,0,0,0,0,0
Cocos,Papala,2016,post,2,0,4,0,0,0
Cocos,Papala,2016,post,2,0,1,0,0,0
Cocos,Papala,2016,post,1,0,0,1,0,0
Cocos,Papala,2016,post,0,0,0,2,0,0
Cocos,Papala,2016,post,0,0,0,0,0,0
Cocos,Papala,2016,post,0,0,0,1,0,0
Cocos,Papala,2016,post,1,0,0,0,0,0
Cocos,Papala,2016,post,1,0,1,0,0,0
Cocos,Papala,2016,post,0,0,0,1,0,0
Cocos,Papala,2016,post,0,0,0,1,0,0
Cocos,Papala,2016,post,3,0,1,0,0,0
Cocos,Papala,2016,post,0,0,0,1,0,0
Cocos,Papala,2016,post,0,0,0,0,0,0
Cocos,Papala,2016,post,2,0,0,0,0,0
Cocos,Papala,2016,post,0,0,0,0,0,0
Cocos,Papala,2016,post,0,0,0,3,0,0
Cocos,Papala,2016,post,0,0,2,3,0,0
Cocos,Papala,2016,post,0,0,0,1,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,2,0,0,1,0,0
Cocos,Paradise 1,2016,post,0,0,0,1,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,2,0,0,0,0,0
Cocos,Paradise 1,2016,post,4,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,4,0,0
Cocos,Paradise 1,2016,post,0,0,1,0,0,0
